Район,Температура,Дата,Время
Первомайский,+20.2,25.07.2022,19:51
Первомайский,+19.7,25.07.2022,20:02
Первомайский,+19.7,25.07.2022,20:05
Первомайский,+19.8,25.07.2022,20:06
Первомайский,+19.7,25.07.2022,20:07
Первомайский,+19.6,25.07.2022,20:08
Первомайский,+19.3,25.07.2022,20:12
Первомайский,+17.8,"25,07,2022",21:10
Первомайский,+17.8,"25,07,2022",21:14
Первомайский,+16.4,"25,07,2022",22:23
Первомайский,+16.4,"25,07,2022",22:24
Первомайский,+16.4,"25,07,2022",22:25
Первомайский,+16.4,"25,07,2022",22:27
Первомайский,+16.4,"25,07,2022",22:28
Первомайский,+16.3,"25,07,2022",22:32
Первомайский,+16.2,"25,07,2022",22:37
Первомайский,+16.1,25.07.2022,22:40
Первомайский,+16.1,25.07.2022,22:43
Первомайский,+16.0,25.07.2022,22:46
Первомайский,+16.0,25.07.2022,22:46
Первомайский,+16.0,25.07.2022,22:49
Первомайский,+15.9,25.07.2022,22:54
Первомайский,+15.9,25.07.2022,22:56
